generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
11,6,0,0.74667,0,0.4286,0.2,121719.921709,5255.039585,946.224158,706.253042,0.204499,1.745254,1580.686988,52.81312
12,0,2,0.49,0,0.2857,0.2,133137.087486,5326.444459,2370.559178,655.395565,0.15206,1.300487,2637.432282,38.315542
12,1,1,0.7,0,0.2857,0.2,109918.196967,4071.350731,1772.751338,850.683591,0.203147,1.346077,2290.506365,37.073988
12,2,5,0.73333,0,0.2857,0.2,167476.166757,4003.669402,2087.422918,600.83769,0.12188,1.491709,3121.775903,35.571823
12,3,2,0.69,0,0.2857,0.2,133956.27346,4784.716805,3075.828902,630.598851,0.14184,1.107103,2587.466183,28.330867
12,4,1,0.77,1,0.2857,0.2,122611.028018,4349.146287,1687.491322,798.748724,0.218552,1.253028,1776.108296,51.029337
12,5,5,0.72,0,0.2857,0.2,175051.627873,5214.829315,2142.683801,493.972606,0.082403,1.587194,4758.151793,52.308201
12,6,2,0.84333,1,0.2857,0.2,154524.14575,5769.025631,2525.973209,579.853162,0.162877,1.70206,2245.139146,32.41807
13,0,6,0.76333,0,0.2857,0.2,154524.14575,5769.025631,2525.973209,579.853162,0.162877,1.70206,2245.139146,32.41807
13,1,4,0.70333,0,0.2857,0.2,122611.028018,4349.146287,1687.491322,798.748724,0.218552,1.253028,1776.108296,51.029337
13,2,2,0.73667,1,0.2857,0.2,167476.166757,4003.669402,2087.422918,600.83769,0.12188,1.491709,3121.775903,35.571823
13,3,6,0.62667,0,0.2857,0.2,87043.999236,5106.441635,2832.28261,439.087219,0.172082,1.873117,1703.839666,25.070082
13,4,4,0.67667,0,0.2857,0.2,121018.283845,4261.210616,1615.698692,736.179133,0.161145,1.039064,2097.056758,52.216525
13,5,2,0.77,1,0.2857,0.2,151793.892933,4594.675204,1859.46628,659.325546,0.153215,1.239821,3687.157503,37.156008
13,6,6,0.76667,0,0.2857,0.2,164180.421868,6949.507503,2757.453292,804.35463,0.178935,1.457226,1957.436858,20.045888
14,0,5,0.66333,0,0.2857,0.2,151793.892933,4594.675204,1859.46628,659.325546,0.153215,1.239821,3687.157503,37.156008
14,1,6,0.68667,0,0.2857,0.2,164180.421868,6949.507503,2757.453292,804.35463,0.178935,1.457226,1957.436858,20.045888
14,2,0,0.72,0,0.2857,0.2,154524.14575,5769.025631,2525.973209,579.853162,0.162877,1.70206,2245.139146,32.41807
14,3,5,0.81667,1,0.2857,0.2,117356.820023,4631.292125,1819.031382,684.187603,0.16247,1.119921,3925.825421,37.461868
14,4,6,0.72333,0,0.2857,0.2,187037.594317,5490.622901,2685.515753,1354.47453,0.200296,1.527624,1524.460971,22.764861
14,5,0,0.76,0,0.2857,0.2,172886.02912,6797.675075,2446.790204,690.12458,0.160052,1.266602,1870.212434,25.845023
14,6,5,0.79667,1,0.2857,0.2,142625.736749,3621.813391,1799.232621,802.279661,0.127168,1.430952,4264.677612,20.817638
15,0,3,0.59,0,0.0,0.2,117356.820023,4631.292125,1819.031382,684.187603,0.16247,1.119921,3925.825421,37.461868
15,1,6,0.70333,0,0.0,0.2,142625.736749,3621.813391,1799.232621,802.279661,0.127168,1.430952,4264.677612,20.817638
15,2,5,0.67333,0,0.0,0.2,172886.02912,6797.675075,2446.790204,690.12458,0.160052,1.266602,1870.212434,25.845023
15,3,3,0.78333,0,0.0,0.2,95435.589227,6050.021961,2528.69914,730.398121,0.178354,1.490019,3503.129647,41.321643
15,4,6,0.76667,0,0.0,0.2,207902.893018,3059.935442,1618.37878,843.655612,0.107072,1.756975,5861.754995,24.183842
15,5,5,0.69667,0,0.0,0.2,170761.942934,6766.664447,3784.443117,990.440843,0.111936,1.686176,1858.647889,25.520771
15,6,3,0.73667,0,0.0,0.2,104883.072815,3624.820762,1461.49835,587.225595,0.18212,1.111219,3769.31957,31.569332
16,0,3,0.77333,0,0.0,0.2,95435.589227,6050.021961,2528.69914,730.398121,0.178354,1.490019,3503.129647,41.321643
16,1,4,0.69333,0,0.0,0.2,207902.893018,3059.935442,1618.37878,843.655612,0.107072,1.756975,5861.754995,24.183842
16,2,6,0.69,0,0.0,0.2,104883.072815,3624.820762,1461.49835,587.225595,0.18212,1.111219,3769.31957,31.569332
16,3,3,0.78333,0,0.0,0.2,94048.217228,3695.408996,2915.830817,618.770458,0.212691,1.244978,5006.446506,40.625151
16,4,4,0.0,0,0.0,0.2,241842.581811,2873.691364,1763.264644,899.070024,0.114725,2.700092,5606.033746,26.43479
16,5,6,0.0,0,0.0,0.2,167475.948788,4008.231599,1493.270488,667.580571,0.235207,0.993142,3401.439696,28.283951
16,6,3,0.0,0,0.0,0.2,98156.499594,7235.381946,2858.346394,895.776888,0.115621,1.488407,3429.835557,37.51828
