timestep,opponent,winrate,mean_ep_reward,sample_count
917504,Random Dummy,0.4483,155.93,29
917504,Self-Play,0.5795,152.18,440
917504,Spam Bot T1,0.6364,150.15,22
917504,Spam Bot T2,0.8333,161.0,6
917504,Spam Bot T3,1.0,154.87,4
917504,Spam Bot T4,0.0,149.43,1
917504,Spam Bot T5,0.0,110.22,1
917504,Spam Bot T6,0.5,154.61,6
917504,Spam Bot T7,1.0,144.21,4
917504,Spam Bot T8,0.6667,158.32,6
917504,castle_defense_p1_v16,0.75,167.7,4
917504,castle_defense_p1_v20,0.5,137.98,2
917504,castle_defense_p1_v21,0.25,153.53,4
917504,castle_defense_p1_v22,1.0,148.66,2
917504,castle_defense_p1_v23,0.25,143.7,4
917504,castle_defense_p1_v25_bc,0.6667,162.67,3
917504,castle_defense_p1_v27,0.5,139.75,2
917504,castle_defense_p1_v27_last,1.0,153.66,6
917504,castle_defense_p1_v3,0.0,154.61,3
917504,castle_defense_p1_v4,0.0,137.02,3
917504,v28_snap_20260726_005800,0.0,169.29,1
917504,v28_snap_20260726_012419,1.0,147.23,3
917504,v28_snap_20260726_015042,1.0,159.8,2
917504,v28_snap_20260726_021730,1.0,160.18,2
917504,v28_snap_20260726_024418,1.0,154.92,4
917504,v28_snap_20260726_033659,1.0,142.33,2
917504,v28_snap_20260726_040326,1.0,137.83,3
917504,v28_snap_20260726_043005,0.0,130.81,2
917504,v28_snap_20260726_045639,1.0,172.77,2
917504,v29_snap_20260726_142419,1.0,169.29,1
917504,v29_snap_20260726_145116,0.3333,163.22,3
917504,v29_snap_20260726_154531,0.0,149.43,1
917504,v29_snap_20260726_163913,1.0,152.24,5
917504,v29_snap_20260726_170553,1.0,130.81,1
917504,v29_snap_20260726_173235,1.0,176.24,1
917504,v30_snap_20260727_103227,1.0,153.86,2
917504,v30_snap_20260727_110006,1.0,165.74,1
917504,v30_snap_20260727_112801,0.0,176.24,1
917504,v30_snap_20260727_115518,0.0,162.67,3
917504,v30_snap_20260727_125007,0.5,166.12,2
917504,v30_snap_20260727_134517,1.0,132.04,2
917504,v30_snap_20260727_141243,0.0,110.22,1
917504,v30_snap_20260727_144030,1.0,130.81,1
1032192,Anti-Spam Bot,0.2727,144.41,22
1032192,Heuristic Bot,0.1257,155.09,334
1032192,Random Dummy,0.4857,155.91,35
1032192,Self-Play,0.5761,152.57,493
1032192,Spam Bot T1,0.68,150.83,25
1032192,Spam Bot T2,0.8333,161.0,6
1032192,Spam Bot T3,1.0,154.87,4
1032192,Spam Bot T4,0.0,149.43,1
1032192,Spam Bot T5,0.0,110.22,1
1032192,Spam Bot T6,0.5,154.61,6
1032192,Spam Bot T7,1.0,144.21,4
1032192,Spam Bot T8,0.6667,158.32,6
1032192,castle_defense_p1_v16,0.6,165.32,5
1032192,castle_defense_p1_v20,0.5,137.98,2
1032192,castle_defense_p1_v21,0.4,153.98,5
1032192,castle_defense_p1_v22,1.0,148.66,2
1032192,castle_defense_p1_v23,0.25,143.7,4
1032192,castle_defense_p1_v25_bc,0.6,159.92,5
1032192,castle_defense_p1_v27,0.5,139.75,2
1032192,castle_defense_p1_v27_last,1.0,153.66,6
1032192,castle_defense_p1_v3,0.0,154.61,3
1032192,castle_defense_p1_v4,0.0,141.71,4
1032192,v28_snap_20260726_005800,0.0,169.29,1
1032192,v28_snap_20260726_012419,1.0,147.23,3
1032192,v28_snap_20260726_015042,1.0,159.8,2
1032192,v28_snap_20260726_021730,1.0,160.18,2
1032192,v28_snap_20260726_024418,1.0,154.92,4
1032192,v28_snap_20260726_033659,1.0,146.82,3
1032192,v28_snap_20260726_040326,1.0,137.83,3
1032192,v28_snap_20260726_043005,0.0,130.81,2
1032192,v28_snap_20260726_045639,1.0,172.77,2
1032192,v29_snap_20260726_135657,1.0,155.8,1
1032192,v29_snap_20260726_142419,0.5,162.54,2
1032192,v29_snap_20260726_145116,0.3333,163.22,3
1032192,v29_snap_20260726_154531,0.0,149.43,1
1032192,v29_snap_20260726_163913,1.0,152.24,5
1032192,v29_snap_20260726_170553,1.0,130.81,1
1032192,v29_snap_20260726_173235,1.0,176.24,1
1032192,v29_snap_20260726_175905,0.0,155.8,1
1032192,v30_snap_20260727_103227,1.0,153.86,2
1032192,v30_snap_20260727_110006,0.5,160.77,2
1032192,v30_snap_20260727_112801,0.5,166.02,2
1032192,v30_snap_20260727_115518,0.0,162.67,3
1032192,v30_snap_20260727_125007,0.5,166.12,2
1032192,v30_snap_20260727_134517,1.0,132.04,2
1032192,v30_snap_20260727_141243,0.0,110.22,1
1032192,v30_snap_20260727_144030,1.0,130.81,1
1146880,Anti-Spam Bot,0.24,143.58,25
1146880,Heuristic Bot,0.1263,153.29,372
1146880,Random Dummy,0.4878,153.21,41
1146880,Self-Play,0.592,148.98,500
1146880,Spam Bot T1,0.6207,148.98,29
1146880,Spam Bot T2,0.8333,161.0,6
1146880,Spam Bot T3,1.0,151.38,5
1146880,Spam Bot T4,0.0,149.43,1
1146880,Spam Bot T5,0.5,123.83,2
1146880,Spam Bot T6,0.5,154.61,6
1146880,Spam Bot T7,1.0,144.21,4
1146880,Spam Bot T8,0.6667,158.32,6
1146880,castle_defense_p1_v16,0.6,165.32,5
1146880,castle_defense_p1_v20,0.5,137.98,2
1146880,castle_defense_p1_v21,0.4,153.98,5
1146880,castle_defense_p1_v22,1.0,148.66,2
1146880,castle_defense_p1_v23,0.25,143.7,4
1146880,castle_defense_p1_v25_bc,0.6,159.92,5
1146880,castle_defense_p1_v27,0.5,139.75,2
1146880,castle_defense_p1_v27_last,1.0,153.66,6
1146880,castle_defense_p1_v3,0.0,154.61,3
1146880,castle_defense_p1_v4,0.0,140.86,5
1146880,v28_snap_20260726_005800,0.0,169.29,1
1146880,v28_snap_20260726_012419,1.0,147.23,3
1146880,v28_snap_20260726_015042,1.0,152.34,3
1146880,v28_snap_20260726_021730,1.0,160.18,2
1146880,v28_snap_20260726_024418,1.0,154.92,4
1146880,v28_snap_20260726_033659,1.0,144.48,4
1146880,v28_snap_20260726_040326,1.0,137.83,3
1146880,v28_snap_20260726_043005,0.0,130.81,2
1146880,v28_snap_20260726_045639,1.0,172.77,2
1146880,v29_snap_20260726_135657,1.0,155.8,1
1146880,v29_snap_20260726_142419,0.5,162.54,2
1146880,v29_snap_20260726_145116,0.3333,163.22,3
1146880,v29_snap_20260726_151811,1.0,137.44,1
1146880,v29_snap_20260726_154531,0.0,149.43,1
1146880,v29_snap_20260726_163913,1.0,152.24,5
1146880,v29_snap_20260726_170553,1.0,130.81,1
1146880,v29_snap_20260726_173235,1.0,156.84,2
1146880,v29_snap_20260726_175905,0.0,155.8,1
1146880,v30_snap_20260727_103227,1.0,153.86,2
1146880,v30_snap_20260727_110006,0.5,160.77,2
1146880,v30_snap_20260727_112801,0.5,166.02,2
1146880,v30_snap_20260727_115518,0.0,162.67,3
1146880,v30_snap_20260727_122239,1.0,137.44,1
1146880,v30_snap_20260727_125007,0.5,166.12,2
1146880,v30_snap_20260727_134517,1.0,132.04,2
1146880,v30_snap_20260727_141243,0.0,110.22,1
1146880,v30_snap_20260727_144030,1.0,130.81,1
1261568,Anti-Spam Bot,0.2667,145.54,30
1261568,Heuristic Bot,0.1327,153.47,407
1261568,Random Dummy,0.4545,153.35,44
1261568,Self-Play,0.574,149.12,500
1261568,Spam Bot T1,0.6286,150.07,35
1261568,Spam Bot T2,0.875,159.59,8
1261568,Spam Bot T3,1.0,152.51,7
1261568,Spam Bot T4,0.0,149.43,1
1261568,Spam Bot T5,0.5,123.83,2
1261568,Spam Bot T6,0.5,154.61,6
1261568,Spam Bot T7,1.0,144.21,4
1261568,Spam Bot T8,0.625,157.57,8
1261568,castle_defense_p1_v14,1.0,155.35,1
1261568,castle_defense_p1_v16,0.6,165.32,5
1261568,castle_defense_p1_v20,0.6667,143.77,3
1261568,castle_defense_p1_v21,0.4,153.98,5
1261568,castle_defense_p1_v22,1.0,148.66,2
1261568,castle_defense_p1_v23,0.4,146.03,5
1261568,castle_defense_p1_v25_bc,0.6,159.92,5
1261568,castle_defense_p1_v27,0.5,139.75,2
1261568,castle_defense_p1_v27_last,1.0,153.66,6
1261568,castle_defense_p1_v3,0.25,154.79,4
1261568,castle_defense_p1_v4,0.0,140.86,5
1261568,v28_snap_20260726_005800,0.0,169.29,1
1261568,v28_snap_20260726_012419,1.0,147.23,3
1261568,v28_snap_20260726_015042,1.0,152.34,3
1261568,v28_snap_20260726_021730,1.0,158.57,3
1261568,v28_snap_20260726_024418,1.0,154.92,4
1261568,v28_snap_20260726_033659,1.0,144.48,4
1261568,v28_snap_20260726_040326,1.0,137.83,3
1261568,v28_snap_20260726_043005,0.3333,138.99,3
1261568,v28_snap_20260726_045639,1.0,164.06,4
1261568,v29_snap_20260726_135657,1.0,155.57,2
1261568,v29_snap_20260726_142419,0.5,162.54,2
1261568,v29_snap_20260726_145116,0.3333,163.22,3
1261568,v29_snap_20260726_151811,1.0,137.44,1
1261568,v29_snap_20260726_154531,0.0,149.43,1
1261568,v29_snap_20260726_163913,1.0,152.24,5
1261568,v29_snap_20260726_170553,1.0,130.81,1
1261568,v29_snap_20260726_173235,1.0,156.84,2
1261568,v29_snap_20260726_175905,0.0,155.8,1
1261568,v30_snap_20260727_103227,1.0,154.35,3
1261568,v30_snap_20260727_110006,0.5,160.77,2
1261568,v30_snap_20260727_112801,0.5,166.02,2
1261568,v30_snap_20260727_115518,0.0,162.67,3
1261568,v30_snap_20260727_122239,1.0,137.44,1
1261568,v30_snap_20260727_125007,0.3333,162.53,3
1261568,v30_snap_20260727_134517,1.0,132.04,2
1261568,v30_snap_20260727_141243,0.0,110.22,1
1261568,v30_snap_20260727_144030,1.0,130.81,1
1376256,Anti-Spam Bot,0.2647,140.84,34
1376256,Heuristic Bot,0.1305,148.7,452
1376256,Random Dummy,0.4375,149.37,48
1376256,Self-Play,0.586,141.7,500
1376256,Spam Bot T1,0.6111,148.84,36
1376256,Spam Bot T2,0.875,159.59,8
1376256,Spam Bot T3,1.0,152.51,7
1376256,Spam Bot T4,0.5,127.5,2
1376256,Spam Bot T5,0.5,123.83,2
1376256,Spam Bot T6,0.5,154.61,6
1376256,Spam Bot T7,1.0,144.21,4
1376256,Spam Bot T8,0.6667,151.8,9
1376256,castle_defense_p1_v14,1.0,155.35,1
1376256,castle_defense_p1_v16,0.6,165.32,5
1376256,castle_defense_p1_v20,0.6667,143.77,3
1376256,castle_defense_p1_v21,0.4,153.98,5
1376256,castle_defense_p1_v22,1.0,134.3,3
1376256,castle_defense_p1_v23,0.5,139.29,6
1376256,castle_defense_p1_v25_bc,0.6,159.92,5
1376256,castle_defense_p1_v27,0.5,139.75,2
1376256,castle_defense_p1_v27_last,1.0,153.66,6
1376256,castle_defense_p1_v3,0.25,154.79,4
1376256,castle_defense_p1_v4,0.0,140.86,5
1376256,v28_snap_20260726_005800,0.0,169.29,1
1376256,v28_snap_20260726_012419,1.0,147.23,3
1376256,v28_snap_20260726_015042,1.0,152.34,3
1376256,v28_snap_20260726_021730,1.0,158.57,3
1376256,v28_snap_20260726_024418,1.0,154.92,4
1376256,v28_snap_20260726_033659,1.0,144.48,4
1376256,v28_snap_20260726_040326,1.0,137.83,3
1376256,v28_snap_20260726_043005,0.5,130.64,4
1376256,v28_snap_20260726_045639,1.0,164.06,4
1376256,v29_snap_20260726_135657,1.0,155.57,2
1376256,v29_snap_20260726_142419,0.25,134.06,4
1376256,v29_snap_20260726_145116,0.3333,163.22,3
1376256,v29_snap_20260726_151811,1.0,121.51,2
1376256,v29_snap_20260726_154531,0.0,149.43,1
1376256,v29_snap_20260726_161220,0.5,105.57,2
1376256,v29_snap_20260726_163913,1.0,152.24,5
1376256,v29_snap_20260726_170553,1.0,130.81,1
1376256,v29_snap_20260726_173235,1.0,156.84,2
1376256,v29_snap_20260726_175905,0.0,155.8,1
1376256,v30_snap_20260727_103227,1.0,154.35,3
1376256,v30_snap_20260727_110006,0.5,160.77,2
1376256,v30_snap_20260727_112801,0.5,166.02,2
1376256,v30_snap_20260727_115518,0.25,148.39,4
1376256,v30_snap_20260727_122239,1.0,121.51,2
1376256,v30_snap_20260727_125007,0.3333,162.53,3
1376256,v30_snap_20260727_134517,1.0,132.04,2
1376256,v30_snap_20260727_141243,0.0,110.22,1
1376256,v30_snap_20260727_144030,1.0,130.81,1
1490944,Anti-Spam Bot,0.2889,139.0,45
1490944,Heuristic Bot,0.125,147.8,480
1490944,Random Dummy,0.4151,147.86,53
1490944,Self-Play,0.584,142.41,500
1490944,Spam Bot T1,0.6098,146.94,41
1490944,Spam Bot T2,0.7778,156.67,9
1490944,Spam Bot T3,1.0,150.12,8
1490944,Spam Bot T4,0.5,127.5,2
1490944,Spam Bot T5,0.5,123.83,2
1490944,Spam Bot T6,0.5,154.61,6
1490944,Spam Bot T7,1.0,144.21,4
1490944,Spam Bot T8,0.6667,151.8,9
1490944,castle_defense_p1_v14,1.0,155.35,1
1490944,castle_defense_p1_v16,0.6,165.32,5
1490944,castle_defense_p1_v20,0.6667,143.77,3
1490944,castle_defense_p1_v21,0.4,153.98,5
1490944,castle_defense_p1_v22,1.0,134.3,3
1490944,castle_defense_p1_v23,0.5,139.29,6
1490944,castle_defense_p1_v25,1.0,133.32,1
1490944,castle_defense_p1_v25_bc,0.6667,155.49,6
1490944,castle_defense_p1_v27,0.5,139.75,2
1490944,castle_defense_p1_v27_last,0.8571,150.76,7
1490944,castle_defense_p1_v3,0.25,154.79,4
1490944,castle_defense_p1_v4,0.0,140.86,5
1490944,v28_snap_20260726_005800,0.0,169.29,1
1490944,v28_snap_20260726_012419,1.0,147.23,3
1490944,v28_snap_20260726_015042,1.0,147.59,4
1490944,v28_snap_20260726_021730,1.0,158.57,3
1490944,v28_snap_20260726_024418,1.0,154.92,4
1490944,v28_snap_20260726_033659,1.0,144.48,4
1490944,v28_snap_20260726_040326,1.0,137.83,3
1490944,v28_snap_20260726_043005,0.5,130.64,4
1490944,v28_snap_20260726_045639,1.0,164.06,4
1490944,v29_snap_20260726_135657,1.0,148.16,3
1490944,v29_snap_20260726_142419,0.25,134.06,4
1490944,v29_snap_20260726_145116,0.3333,163.22,3
1490944,v29_snap_20260726_151811,1.0,121.51,2
1490944,v29_snap_20260726_154531,0.0,149.43,1
1490944,v29_snap_20260726_161220,0.75,119.45,4
1490944,v29_snap_20260726_163913,1.0,152.24,5
1490944,v29_snap_20260726_170553,1.0,130.81,1
1490944,v29_snap_20260726_173235,1.0,156.84,2
1490944,v29_snap_20260726_175905,0.0,155.8,1
1490944,v30_snap_20260727_103227,1.0,154.35,3
1490944,v30_snap_20260727_110006,0.3333,151.62,3
1490944,v30_snap_20260727_112801,0.5,166.02,2
1490944,v30_snap_20260727_115518,0.25,148.39,4
1490944,v30_snap_20260727_122239,1.0,121.51,2
1490944,v30_snap_20260727_125007,0.3333,162.53,3
1490944,v30_snap_20260727_131754,0.0,133.32,1
1490944,v30_snap_20260727_134517,1.0,132.04,2
1490944,v30_snap_20260727_141243,0.0,125.62,3
1490944,v30_snap_20260727_144030,1.0,130.81,1
1605632,Anti-Spam Bot,0.26,142.77,50
1605632,Heuristic Bot,0.126,149.22,500
1605632,Random Dummy,0.4107,149.4,56
1605632,Self-Play,0.59,148.41,500
1605632,Spam Bot T1,0.5952,147.65,42
1605632,Spam Bot T2,0.7778,156.67,9
1605632,Spam Bot T3,1.0,150.12,8
1605632,Spam Bot T4,0.5,127.5,2
1605632,Spam Bot T5,0.5,123.83,2
1605632,Spam Bot T6,0.5,154.61,6
1605632,Spam Bot T7,1.0,144.21,4
1605632,Spam Bot T8,0.6667,151.8,9
1605632,castle_defense_p1_v14,0.5,166.02,2
1605632,castle_defense_p1_v16,0.6,165.32,5
1605632,castle_defense_p1_v20,0.6667,143.77,3
1605632,castle_defense_p1_v21,0.4,153.98,5
