generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
8,5,2,0.48,0,0.4286,0.3,38638.105957,3096.496777,728.354788,295.96731,0.134213,0.953004,1704.047539,45.682819,104.929403,8.949552
8,6,0,0.52,1,0.4286,0.3,36769.962839,5297.754201,313.490171,188.238432,0.10775,0.634765,691.08076,49.45745,126.422997,4.64272
9,0,2,0.54,1,0.1429,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
9,1,6,0.51667,0,0.1429,0.3,36769.962839,5297.754201,313.490171,188.238432,0.10775,0.634765,691.08076,49.45745,126.422997,4.64272
9,2,1,0.46333,0,0.1429,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
9,3,2,0.49,0,0.1429,0.3,51723.023507,4497.248171,1411.96822,213.862312,0.167273,0.367727,898.482038,44.281853,131.942247,4.234722
9,4,6,0.48333,0,0.1429,0.3,48012.118384,4207.03379,280.119144,110.602068,0.110515,0.803501,928.459325,55.123898,84.846395,3.734787
9,5,1,0.51667,0,0.1429,0.3,62012.815395,3158.279447,275.09021,1584.391579,0.117532,1.330005,3076.614073,89.587563,104.340375,11.65274
9,6,2,0.44667,0,0.1429,0.3,32317.113465,4018.235993,780.040015,277.9069,0.102903,0.275931,2173.184155,20.549945,203.745387,10.955442
10,0,0,0.53,0,0.1429,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
10,1,1,0.50667,0,0.1429,0.3,36769.962839,5297.754201,313.490171,188.238432,0.10775,0.634765,691.08076,49.45745,126.422997,4.64272
10,2,5,0.53333,1,0.1429,0.3,62012.815395,3158.279447,275.09021,1584.391579,0.117532,1.330005,3076.614073,89.587563,104.340375,11.65274
10,3,0,0.51,0,0.1429,0.3,24944.701624,2883.767927,823.175802,252.526743,0.101173,0.46279,1514.886404,27.74393,256.752339,7.517248
10,4,1,0.46667,0,0.1429,0.3,29093.428196,7018.362233,213.350815,180.970148,0.183181,0.861897,623.830447,35.432539,84.738693,5.692919
10,5,5,0.48333,0,0.1429,0.3,67186.798592,1751.609308,166.649872,1681.445309,0.080829,1.136837,2071.235382,83.256605,102.370488,10.229965
10,6,0,0.49333,0,0.1429,0.3,55786.943837,2656.610214,638.395458,213.365649,0.084848,0.513882,1510.81442,26.440955,89.19981,5.604762
11,0,2,0.49333,0,0.1429,0.3,62012.815395,3158.279447,275.09021,1584.391579,0.117532,1.330005,3076.614073,89.587563,104.340375,11.65274
11,1,0,0.50667,0,0.1429,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
11,2,3,0.49667,0,0.1429,0.3,24944.701624,2883.767927,823.175802,252.526743,0.101173,0.46279,1514.886404,27.74393,256.752339,7.517248
11,3,2,0.48,0,0.1429,0.3,63479.680439,1265.181898,288.112011,1899.579419,0.082599,0.902148,3676.565358,89.461404,110.680689,12.993911
11,4,0,0.49333,0,0.1429,0.3,26293.172385,3253.105681,805.631238,352.441527,0.122012,0.485044,1000.566039,22.042665,135.448076,4.999757
11,5,3,0.51333,1,0.1429,0.3,20541.247041,3578.773916,849.37398,325.730566,0.115045,0.415787,1438.966947,15.422493,275.372012,6.401206
11,6,2,0.49667,0,0.1429,0.3,50549.192366,4572.538683,254.75702,1106.306381,0.085118,1.049548,2704.068026,93.037032,149.441327,5.638587
12,0,5,0.49,0,0.2857,0.3,20541.247041,3578.773916,849.37398,325.730566,0.115045,0.415787,1438.966947,15.422493,275.372012,6.401206
12,1,1,0.50667,0,0.2857,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
12,2,2,0.50333,1,0.2857,0.3,24944.701624,2883.767927,823.175802,252.526743,0.101173,0.46279,1514.886404,27.74393,256.752339,7.517248
12,3,5,0.54333,1,0.2857,0.3,25762.193149,5907.730871,784.032506,330.856334,0.145274,0.433432,2370.177698,19.085383,269.745878,8.541152
12,4,1,0.44667,0,0.2857,0.3,41526.661637,1575.578855,898.343474,147.179071,0.085644,0.497551,1600.314978,28.021354,151.234971,7.223283
12,5,2,0.45333,0,0.2857,0.3,27190.751691,1962.144479,518.265045,176.997175,0.120522,0.312013,977.43995,24.757563,302.005294,9.668715
12,6,5,0.5,0,0.2857,0.3,24790.115492,2991.553482,692.300412,154.511115,0.128941,0.427689,1276.011913,22.271174,252.816148,5.031723
13,0,3,0.45,0,0.2857,0.3,25762.193149,5907.730871,784.032506,330.856334,0.145274,0.433432,2370.177698,19.085383,269.745878,8.541152
13,1,1,0.47667,0,0.2857,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
13,2,2,0.54,1,0.2857,0.3,24944.701624,2883.767927,823.175802,252.526743,0.101173,0.46279,1514.886404,27.74393,256.752339,7.517248
13,3,3,0.45667,0,0.2857,0.3,26117.116367,4205.352923,573.308826,342.862984,0.227642,0.472763,2363.376403,14.043401,208.60708,7.80851
